timestamp,rate,confidence,raw_digits
2026-04-22T23:12:22.424098,Not feeding,NA,NA
2026-04-22T23:12:22.464375,Not feeding,NA,NA
2026-04-22T23:12:25.395160,205,0.9998592138290405,2_0_5
2026-04-22T23:12:29.896225,217,0.9999639987945557,2_1_7
2026-04-22T23:12:33.012236,174,0.9998335838317871,1_7_4
2026-04-22T23:12:35.404564,378,0.9990648627281189,3_7_8
2026-04-22T23:12:37.672482,230,0.9999343156814575,2_3_0
2026-04-22T23:12:38.078088,Not feeding,NA,NA
2026-04-22T23:12:38.118179,Not feeding,NA,NA
2026-04-22T23:12:39.951754,176,0.9998377561569214,1_7_6
