timestamp,rate,confidence,raw_digits
2026-04-22T23:27:05.192271,Not feeding,NA,NA
2026-04-22T23:27:05.236374,Not feeding,NA,NA
2026-04-22T23:27:05.276475,Not feeding,NA,NA
2026-04-22T23:27:08.038211,214,0.9995383024215698,2_1_4
2026-04-22T23:27:11.586548,176,0.9998377561569214,1_7_6
2026-04-22T23:27:13.548955,181,0.9997313618659973,1_8_1
2026-04-22T23:27:15.473733,184,0.9999709129333496,1_8_4
2026-04-22T23:27:17.553939,233,0.9993976354598999,2_3_3
2026-04-22T23:27:17.736859,Not feeding,NA,NA
2026-04-22T23:27:19.579206,393,0.9993016719818115,3_9_3
