timestamp,rate,confidence,raw_digits
2026-04-22T23:18:03.248598,1,0.9994916915893555,1
2026-04-22T23:18:08.078743,85,0.9998844861984253,8_5
2026-04-22T23:18:10.704509,205,0.999845027923584,2_0_5
2026-04-22T23:18:13.275220,15,0.9997768998146057,1_5
2026-04-22T23:18:13.710115,Not feeding,NA,NA
2026-04-22T23:18:13.749143,Not feeding,NA,NA
2026-04-22T23:18:15.606931,362,0.9996634721755981,3_6_2
2026-04-22T23:18:17.880637,162,0.9966103434562683,1_6_2
2026-04-22T23:18:18.318263,Not feeding,NA,NA
2026-04-22T23:18:20.203903,164,0.9986931681632996,1_6_4
