timestamp,rate,confidence,raw_digits
2026-04-22T23:30:38.431780,165,0.9977637529373169,1_6_5
2026-04-22T23:30:43.094966,165,0.9977637529373169,1_6_5
2026-04-22T23:30:44.977517,167,0.995741605758667,1_6_7
2026-04-22T23:30:48.879736,215,0.9999475479125977,2_1_5
2026-04-22T23:30:55.013466,167,0.995741605758667,1_6_7
2026-04-22T23:30:55.086556,Not feeding,NA,NA
2026-04-22T23:30:56.936074,170,0.9999266862869263,1_7_0
2026-04-22T23:30:58.887393,170,0.9999266862869263,1_7_0
2026-04-22T23:31:00.857487,Invalid,0.7651153206825256,8_0_0
2026-04-22T23:31:02.844706,173,0.9986862540245056,1_7_3
